Title,Ranking,Initial release year,Casting,Rating
      Tokyo Story,211,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1
      Platoon,212,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.1
      Ford v Ferrari,213,2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.1
      The Terminator,214,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.1
      Stand by Me,215,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.1
      Rush,216,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.0
      Into the Wild,217,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.0
      The Wizard of Oz,218,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.0
      Logan,219,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.0
      Spotlight,220,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.0
      Network,221,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.0
      Groundhog Day,222,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.0
      Ratatouille,223,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.0
      The Exorcist,224,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.0
      Hachi: A Dog's Tale,225,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.0
      The Incredibles,226,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.0
      The Best Years of Our Lives,227,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.0
      Dersu Uzala,228,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.0
      Before Sunset,229,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0
      Rebecca,230,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0
      Babam ve Oglum,231,2005,"Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor",8.0
      The Grapes of Wrath,232,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",8.0
      Cool Hand Luke,233,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.0
      To Be or Not to Be,234,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.0
      Pirates of the Caribbean: The Curse of the Black Pearl,235,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.0
      La battaglia di Algeri,236,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0
      Amores perros,237,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.0
      Dune,238,2021,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",8.0
      The Sound of Music,239,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.0
      Life of Brian,240,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.0
      The 400 Blows,241,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.0
      Persona,242,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.0
      It Happened One Night,243,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.0
      La haine,244,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0
      Aladdin,245,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.0
      Beauty and the Beast,246,1991,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.0
      Gandhi,247,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.0
      The Help,248,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.0
      The Handmaiden,249,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.0
      Dances with Wolves,250,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.0
